93,174
96,169
99,163
102,157
105,151
108,145
111,139
114,133
117,126
120,120
123,113
127,106
131,99
135,91
139,83
143,74
148,64
154,52
162,36
180,360
162,36
154,52
148,64
143,74
139,83
135,91
131,99
127,106
123,113
120,120
115,120
109,119
105,117
101,115
98,112
95,109
93,105
91,100
90,95
90,90
90,95
91,100
93,105
95,109
98,112
101,115
105,117
109,119
115,120
120,120
126,120
132,119
138,117
144,115
150,112
157,109
163,105
168,100
174,95
180,90
174,95
168,100
163,105
157,109
150,112
144,115
138,117
132,119
126,120
120,120
117,126
114,133
111,139
108,145
105,151
102,157
99,163
96,169
93,174
